train_mse_loss,train_inter_physics_loss,train_loss,valid_mse_loss,valid_inter_physics_loss,valid_loss,epoch,train_seconds,valid_seconds,checkpoint_seconds,total_seconds
1.32e-03,4.81e+05,1.36e-03,1.30e-03,4.76e+05,-6.65e+00,22,2.29e+00,1.16e-01,2.70e-02,2.44e+00
1.29e-03,4.64e+05,1.34e-03,1.27e-03,4.63e+05,-6.67e+00,23,2.30e+00,1.15e-01,2.68e-02,2.44e+00
1.26e-03,4.51e+05,1.31e-03,1.26e-03,4.41e+05,-6.68e+00,24,2.29e+00,1.15e-01,1.16e-01,2.52e+00
1.24e-03,4.34e+05,1.28e-03,1.24e-03,4.40e+05,-6.70e+00,25,2.30e+00,1.16e-01,2.66e-02,2.44e+00
1.21e-03,4.15e+05,1.25e-03,1.21e-03,4.16e+05,-6.72e+00,26,2.29e+00,1.16e-01,1.15e-01,2.52e+00
1.19e-03,4.08e+05,1.23e-03,1.19e-03,4.03e+05,-6.74e+00,27,2.31e+00,1.16e-01,2.67e-02,2.45e+00
1.16e-03,3.91e+05,1.20e-03,1.16e-03,3.80e+05,-6.76e+00,28,2.29e+00,1.16e-01,1.08e-01,2.52e+00
1.14e-03,3.84e+05,1.18e-03,1.14e-03,3.72e+05,-6.78e+00,29,2.31e+00,1.16e-01,2.71e-02,2.45e+00
1.12e-03,3.68e+05,1.16e-03,1.12e-03,3.81e+05,-6.79e+00,30,2.29e+00,1.16e-01,9.54e-02,2.50e+00
1.11e-03,3.57e+05,1.14e-03,1.11e-03,3.49e+05,-6.80e+00,31,2.30e+00,1.16e-01,2.67e-02,2.45e+00
1.09e-03,3.47e+05,1.12e-03,1.07e-03,3.35e+05,-6.85e+00,32,2.29e+00,1.16e-01,2.67e-02,2.43e+00
1.07e-03,3.37e+05,1.11e-03,1.06e-03,3.24e+05,-6.85e+00,33,2.29e+00,1.15e-01,2.67e-02,2.43e+00
1.06e-03,3.32e+05,1.09e-03,1.05e-03,3.14e+05,-6.86e+00,34,2.29e+00,1.16e-01,2.68e-02,2.43e+00
1.05e-03,3.21e+05,1.08e-03,1.04e-03,3.08e+05,-6.87e+00,35,2.31e+00,1.16e-01,2.66e-02,2.45e+00
1.04e-03,3.13e+05,1.07e-03,1.03e-03,2.99e+05,-6.88e+00,36,2.29e+00,1.16e-01,5.87e-02,2.47e+00
1.03e-03,3.09e+05,1.06e-03,1.02e-03,3.02e+05,-6.89e+00,37,2.30e+00,1.16e-01,2.68e-02,2.45e+00
1.02e-03,3.01e+05,1.05e-03,1.02e-03,2.89e+05,-6.89e+00,38,2.29e+00,1.16e-01,1.33e-01,2.54e+00
1.01e-03,2.98e+05,1.04e-03,1.00e-03,2.92e+05,-6.91e+00,39,2.30e+00,1.16e-01,1.11e-01,2.53e+00
1.00e-03,2.94e+05,1.03e-03,9.88e-04,2.87e+05,-6.92e+00,40,2.29e+00,1.16e-01,1.27e-01,2.53e+00
9.95e-04,2.89e+05,1.02e-03,9.83e-04,2.93e+05,-6.93e+00,41,2.29e+00,1.16e-01,9.94e-02,2.51e+00
9.89e-04,2.85e+05,1.02e-03,9.77e-04,2.80e+05,-6.93e+00,42,2.30e+00,1.15e-01,1.28e-01,2.54e+00
9.81e-04,2.79e+05,1.01e-03,9.58e-04,2.80e+05,-6.95e+00,43,2.29e+00,1.15e-01,1.11e-01,2.52e+00
9.74e-04,2.73e+05,1.00e-03,9.44e-04,2.73e+05,-6.97e+00,44,2.29e+00,1.16e-01,1.31e-01,2.53e+00
9.66e-04,2.71e+05,9.93e-04,9.41e-04,2.66e+05,-6.97e+00,45,2.30e+00,1.15e-01,2.66e-02,2.44e+00
9.61e-04,2.66e+05,9.88e-04,9.35e-04,2.66e+05,-6.98e+00,46,2.29e+00,1.15e-01,1.18e-01,2.53e+00
9.53e-04,2.57e+05,9.78e-04,9.29e-04,2.54e+05,-6.98e+00,47,2.31e+00,1.16e-01,1.11e-01,2.54e+00
9.48e-04,2.56e+05,9.74e-04,9.16e-04,2.45e+05,-7.00e+00,48,2.29e+00,1.16e-01,1.12e-01,2.52e+00
9.41e-04,2.50e+05,9.66e-04,9.12e-04,2.45e+05,-7.00e+00,49,2.29e+00,1.16e-01,1.11e-01,2.52e+00
9.35e-04,2.47e+05,9.60e-04,9.12e-04,2.46e+05,-7.00e+00,50,2.29e+00,1.15e-01,1.07e-01,2.51e+00
9.32e-04,2.43e+05,9.57e-04,9.08e-04,2.38e+05,-7.01e+00,51,2.29e+00,1.16e-01,2.68e-02,2.44e+00
9.26e-04,2.39e+05,9.50e-04,9.19e-04,2.39e+05,-7.00e+00,52,2.29e+00,1.15e-01,2.19e-02,2.43e+00
9.22e-04,2.36e+05,9.45e-04,9.27e-04,2.39e+05,-6.99e+00,53,2.29e+00,1.15e-01,2.17e-02,2.42e+00
9.18e-04,2.35e+05,9.42e-04,9.27e-04,2.33e+05,-6.99e+00,54,2.29e+00,1.15e-01,5.24e-02,2.45e+00
9.15e-04,2.30e+05,9.38e-04,9.34e-04,2.38e+05,-6.98e+00,55,2.35e+00,1.16e-01,1.07e-01,2.57e+00
9.13e-04,2.28e+05,9.36e-04,9.38e-04,2.33e+05,-6.97e+00,56,2.29e+00,1.16e-01,1.06e-01,2.51e+00
9.10e-04,2.25e+05,9.33e-04,9.27e-04,2.31e+05,-6.99e+00,57,2.29e+00,1.16e-01,2.18e-02,2.43e+00
9.07e-04,2.24e+05,9.29e-04,9.28e-04,2.34e+05,-6.98e+00,58,2.29e+00,1.16e-01,4.67e-02,2.45e+00
9.09e-04,2.23e+05,9.31e-04,9.25e-04,2.43e+05,-6.99e+00,59,2.32e+00,1.16e-01,2.17e-02,2.46e+00
9.06e-04,2.18e+05,9.28e-04,9.15e-04,2.36e+05,-7.00e+00,60,2.29e+00,1.16e-01,2.22e-02,2.43e+00
8.93e-04,2.16e+05,9.15e-04,9.11e-04,2.35e+05,-7.00e+00,61,2.29e+00,1.16e-01,2.18e-02,2.42e+00
8.85e-04,2.13e+05,9.06e-04,8.97e-04,2.36e+05,-7.02e+00,62,2.29e+00,1.16e-01,1.16e-01,2.52e+00
8.79e-04,2.09e+05,9.00e-04,9.04e-04,2.31e+05,-7.01e+00,63,2.31e+00,1.16e-01,2.21e-02,2.44e+00
8.75e-04,2.08e+05,8.96e-04,8.91e-04,2.23e+05,-7.03e+00,64,2.29e+00,1.15e-01,1.18e-01,2.52e+00
8.71e-04,2.04e+05,8.92e-04,8.80e-04,2.16e+05,-7.04e+00,65,2.31e+00,1.16e-01,1.33e-01,2.56e+00
8.66e-04,2.02e+05,8.86e-04,8.74e-04,2.16e+05,-7.05e+00,66,2.30e+00,1.16e-01,1.11e-01,2.53e+00
8.67e-04,2.01e+05,8.87e-04,8.68e-04,2.15e+05,-7.05e+00,67,2.30e+00,1.16e-01,1.29e-01,2.54e+00
8.57e-04,2.00e+05,8.77e-04,8.67e-04,2.08e+05,-7.05e+00,68,2.29e+00,1.15e-01,1.11e-01,2.52e+00
8.52e-04,1.96e+05,8.72e-04,8.66e-04,2.02e+05,-7.05e+00,69,2.29e+00,1.16e-01,2.68e-02,2.43e+00
8.47e-04,1.92e+05,8.66e-04,8.60e-04,2.01e+05,-7.06e+00,70,2.29e+00,1.16e-01,2.72e-02,2.44e+00
8.52e-04,1.96e+05,8.72e-04,8.53e-04,1.98e+05,-7.07e+00,71,2.30e+00,1.15e-01,1.27e-01,2.54e+00
8.41e-04,1.93e+05,8.61e-04,8.42e-04,1.98e+05,-7.08e+00,72,2.30e+00,1.16e-01,2.68e-02,2.44e+00
8.38e-04,1.90e+05,8.57e-04,8.47e-04,1.97e+05,-7.08e+00,73,2.29e+00,1.15e-01,2.18e-02,2.43e+00
8.38e-04,1.89e+05,8.57e-04,8.42e-04,1.95e+05,-7.08e+00,74,2.29e+00,1.16e-01,2.18e-02,2.43e+00
8.35e-04,1.88e+05,8.54e-04,8.23e-04,1.85e+05,-7.10e+00,75,2.29e+00,1.16e-01,2.67e-02,2.44e+00
8.37e-04,1.86e+05,8.55e-04,8.10e-04,1.82e+05,-7.12e+00,76,2.29e+00,1.16e-01,6.52e-02,2.47e+00
8.36e-04,1.86e+05,8.54e-04,8.05e-04,1.73e+05,-7.13e+00,77,2.30e+00,1.16e-01,2.65e-02,2.44e+00
8.31e-04,1.83e+05,8.49e-04,7.92e-04,1.73e+05,-7.14e+00,78,2.29e+00,1.16e-01,1.17e-01,2.53e+00
8.20e-04,1.80e+05,8.38e-04,7.87e-04,1.74e+05,-7.15e+00,79,2.30e+00,1.16e-01,1.11e-01,2.53e+00
8.13e-04,1.79e+05,8.31e-04,7.87e-04,1.72e+05,-7.15e+00,80,2.29e+00,1.16e-01,1.12e-01,2.52e+00
8.04e-04,1.76e+05,8.22e-04,7.81e-04,1.74e+05,-7.16e+00,81,2.29e+00,1.16e-01,3.89e-02,2.44e+00
7.98e-04,1.75e+05,8.16e-04,7.81e-04,1.70e+05,-7.16e+00,82,2.29e+00,1.15e-01,1.07e-01,2.51e+00
7.93e-04,1.73e+05,8.11e-04,7.77e-04,1.72e+05,-7.16e+00,83,2.30e+00,1.23e-01,1.27e-01,2.55e+00
7.89e-04,1.72e+05,8.07e-04,7.86e-04,1.73e+05,-7.15e+00,84,2.30e+00,1.15e-01,1.19e-01,2.53e+00
7.86e-04,1.72e+05,8.03e-04,7.73e-04,1.74e+05,-7.17e+00,85,2.31e+00,1.16e-01,1.25e-01,2.55e+00
7.83e-04,1.70e+05,8.00e-04,7.78e-04,1.69e+05,-7.16e+00,86,2.30e+00,1.15e-01,1.20e-01,2.54e+00
7.80e-04,1.68e+05,7.97e-04,7.68e-04,1.70e+05,-7.17e+00,87,2.31e+00,1.15e-01,1.26e-01,2.55e+00
7.80e-04,1.69e+05,7.97e-04,7.77e-04,1.67e+05,-7.16e+00,88,2.30e+00,1.16e-01,1.22e-01,2.54e+00
7.75e-04,1.68e+05,7.91e-04,7.62e-04,1.65e+05,-7.18e+00,89,2.29e+00,1.16e-01,1.17e-01,2.52e+00
7.74e-04,1.67e+05,7.91e-04,7.69e-04,1.65e+05,-7.17e+00,90,2.30e+00,1.15e-01,1.11e-01,2.53e+00
7.69e-04,1.67e+05,7.86e-04,7.56e-04,1.60e+05,-7.19e+00,91,2.29e+00,1.16e-01,9.89e-02,2.51e+00
7.67e-04,1.64e+05,7.84e-04,7.63e-04,1.62e+05,-7.18e+00,92,2.30e+00,1.15e-01,1.20e-01,2.54e+00
7.65e-04,1.65e+05,7.81e-04,7.48e-04,1.61e+05,-7.20e+00,93,2.30e+00,1.16e-01,2.66e-02,2.44e+00
7.66e-04,1.63e+05,7.83e-04,7.56e-04,1.63e+05,-7.19e+00,94,2.30e+00,1.15e-01,2.18e-02,2.43e+00
7.65e-04,1.64e+05,7.82e-04,7.42e-04,1.57e+05,-7.21e+00,95,2.30e+00,1.16e-01,2.69e-02,2.44e+00
7.65e-04,1.63e+05,7.81e-04,7.52e-04,1.56e+05,-7.20e+00,96,2.29e+00,1.15e-01,5.17e-02,2.46e+00
7.71e-04,1.65e+05,7.88e-04,7.49e-04,1.54e+05,-7.20e+00,97,2.31e+00,1.16e-01,2.17e-02,2.45e+00
7.75e-04,1.64e+05,7.92e-04,7.37e-04,1.51e+05,-7.22e+00,98,2.29e+00,1.15e-01,4.79e-02,2.45e+00
7.68e-04,1.61e+05,7.85e-04,7.16e-04,1.43e+05,-7.24e+00,99,2.30e+00,1.16e-01,2.71e-02,2.45e+00
7.61e-04,1.59e+05,7.76e-04,7.16e-04,1.41e+05,-7.24e+00,100,2.29e+00,1.16e-01,1.18e-01,2.52e+00
7.52e-04,1.57e+05,7.68e-04,7.04e-04,1.46e+05,-7.26e+00,101,2.30e+00,1.16e-01,1.20e-01,2.53e+00
7.49e-04,1.56e+05,7.65e-04,7.06e-04,1.44e+05,-7.26e+00,102,2.29e+00,1.16e-01,1.19e-01,2.53e+00
7.45e-04,1.55e+05,7.61e-04,7.06e-04,1.42e+05,-7.26e+00,103,2.30e+00,1.15e-01,8.33e-02,2.50e+00
7.42e-04,1.54e+05,7.57e-04,7.09e-04,1.44e+05,-7.25e+00,104,2.31e+00,1.15e-01,1.20e-01,2.54e+00
7.39e-04,1.53e+05,7.55e-04,7.06e-04,1.43e+05,-7.26e+00,105,2.32e+00,1.16e-01,1.06e-01,2.54e+00
7.38e-04,1.52e+05,7.53e-04,7.06e-04,1.39e+05,-7.26e+00,106,2.31e+00,1.15e-01,1.21e-01,2.55e+00
7.34e-04,1.52e+05,7.50e-04,7.01e-04,1.41e+05,-7.27e+00,107,2.32e+00,1.16e-01,1.18e-01,2.56e+00
7.35e-04,1.52e+05,7.50e-04,7.03e-04,1.38e+05,-7.26e+00,108,2.30e+00,1.16e-01,1.23e-01,2.54e+00
7.33e-04,1.50e+05,7.48e-04,7.02e-04,1.38e+05,-7.26e+00,109,2.29e+00,1.15e-01,1.04e-01,2.51e+00
7.34e-04,1.49e+05,7.49e-04,7.12e-04,1.40e+05,-7.25e+00,110,3.20e+00,1.26e-01,9.03e-02,3.41e+00
7.35e-04,1.50e+05,7.50e-04,7.16e-04,1.39e+05,-7.24e+00,111,2.30e+00,1.15e-01,6.81e-02,2.48e+00
7.39e-04,1.49e+05,7.54e-04,7.38e-04,1.45e+05,-7.21e+00,112,2.29e+00,1.15e-01,1.07e-01,2.51e+00
7.39e-04,1.49e+05,7.54e-04,7.29e-04,1.41e+05,-7.23e+00,113,2.29e+00,1.15e-01,2.17e-02,2.42e+00
7.42e-04,1.48e+05,7.57e-04,7.18e-04,1.42e+05,-7.24e+00,114,2.36e+00,1.16e-01,1.08e-01,2.58e+00
7.43e-04,1.47e+05,7.57e-04,6.95e-04,1.40e+05,-7.27e+00,115,2.31e+00,1.16e-01,8.57e-02,2.51e+00
7.33e-04,1.45e+05,7.48e-04,6.88e-04,1.42e+05,-7.28e+00,116,2.30e+00,1.15e-01,1.19e-01,2.53e+00
7.27e-04,1.44e+05,7.42e-04,6.79e-04,1.36e+05,-7.30e+00,117,2.30e+00,1.16e-01,2.65e-02,2.44e+00
7.22e-04,1.44e+05,7.37e-04,6.75e-04,1.38e+05,-7.30e+00,118,2.29e+00,1.16e-01,2.65e-02,2.43e+00
7.17e-04,1.42e+05,7.31e-04,6.73e-04,1.38e+05,-7.31e+00,119,2.30e+00,1.16e-01,2.66e-02,2.44e+00
7.14e-04,1.41e+05,7.28e-04,6.74e-04,1.36e+05,-7.30e+00,120,2.29e+00,1.15e-01,2.22e-02,2.43e+00
7.12e-04,1.40e+05,7.26e-04,6.73e-04,1.37e+05,-7.31e+00,121,2.29e+00,1.16e-01,2.67e-02,2.43e+00
7.10e-04,1.39e+05,7.24e-04,6.68e-04,1.29e+05,-7.31e+00,122,3.12e+00,1.20e-01,1.24e-01,3.37e+00
7.08e-04,1.40e+05,7.22e-04,6.71e-04,1.32e+05,-7.31e+00,123,2.30e+00,1.15e-01,1.08e-01,2.52e+00
7.06e-04,1.39e+05,7.20e-04,6.73e-04,1.34e+05,-7.31e+00,124,2.28e+00,1.15e-01,1.23e-01,2.52e+00
7.04e-04,1.38e+05,7.18e-04,6.74e-04,1.34e+05,-7.30e+00,125,2.29e+00,1.15e-01,8.14e-02,2.48e+00
7.04e-04,1.38e+05,7.18e-04,6.76e-04,1.31e+05,-7.30e+00,126,2.30e+00,1.15e-01,1.22e-01,2.54e+00
7.03e-04,1.37e+05,7.16e-04,6.73e-04,1.28e+05,-7.31e+00,127,2.29e+00,1.15e-01,1.07e-01,2.52e+00
7.01e-04,1.37e+05,7.15e-04,6.71e-04,1.29e+05,-7.31e+00,128,2.28e+00,1.15e-01,1.24e-01,2.52e+00
6.98e-04,1.35e+05,7.12e-04,6.73e-04,1.28e+05,-7.31e+00,129,2.29e+00,1.16e-01,2.16e-02,2.43e+00
6.98e-04,1.34e+05,7.11e-04,6.73e-04,1.30e+05,-7.31e+00,130,2.29e+00,1.15e-01,2.23e-02,2.43e+00
7.00e-04,1.35e+05,7.14e-04,6.75e-04,1.31e+05,-7.30e+00,131,2.29e+00,1.15e-01,2.17e-02,2.43e+00
6.99e-04,1.36e+05,7.13e-04,6.68e-04,1.26e+05,-7.31e+00,132,2.28e+00,1.15e-01,2.73e-02,2.43e+00
6.99e-04,1.35e+05,7.13e-04,6.67e-04,1.26e+05,-7.31e+00,133,2.29e+00,1.15e-01,2.66e-02,2.43e+00
7.00e-04,1.35e+05,7.13e-04,6.69e-04,1.28e+05,-7.31e+00,134,2.28e+00,1.15e-01,1.04e-01,2.50e+00
7.01e-04,1.34e+05,7.14e-04,6.68e-04,1.26e+05,-7.31e+00,135,2.31e+00,1.15e-01,7.22e-02,2.50e+00
7.02e-04,1.33e+05,7.16e-04,6.74e-04,1.26e+05,-7.30e+00,136,2.31e+00,1.15e-01,1.08e-01,2.53e+00
7.05e-04,1.34e+05,7.19e-04,6.75e-04,1.29e+05,-7.30e+00,137,2.29e+00,1.15e-01,2.17e-02,2.42e+00
7.10e-04,1.35e+05,7.24e-04,6.84e-04,1.24e+05,-7.29e+00,138,2.28e+00,1.15e-01,8.36e-02,2.48e+00
7.07e-04,1.34e+05,7.20e-04,6.70e-04,1.30e+05,-7.31e+00,139,2.31e+00,1.16e-01,2.18e-02,2.44e+00
7.07e-04,1.34e+05,7.20e-04,6.79e-04,1.30e+05,-7.30e+00,140,2.28e+00,1.15e-01,2.27e-02,2.42e+00
7.08e-04,1.34e+05,7.22e-04,6.71e-04,1.35e+05,-7.31e+00,141,2.29e+00,1.15e-01,2.18e-02,2.42e+00
7.08e-04,1.33e+05,7.22e-04,6.69e-04,1.28e+05,-7.31e+00,142,2.28e+00,1.15e-01,1.05e-01,2.50e+00
7.02e-04,1.31e+05,7.15e-04,6.69e-04,1.30e+05,-7.31e+00,143,2.32e+00,1.15e-01,2.18e-02,2.46e+00
6.95e-04,1.29e+05,7.07e-04,6.67e-04,1.28e+05,-7.31e+00,144,2.28e+00,1.15e-01,2.69e-02,2.42e+00
6.90e-04,1.27e+05,7.03e-04,6.60e-04,1.24e+05,-7.32e+00,145,2.29e+00,1.15e-01,2.64e-02,2.43e+00
6.86e-04,1.27e+05,6.99e-04,6.58e-04,1.30e+05,-7.33e+00,146,2.65e+00,1.23e-01,1.15e-01,2.89e+00
6.83e-04,1.27e+05,6.95e-04,6.52e-04,1.26e+05,-7.34e+00,147,2.30e+00,1.15e-01,2.68e-02,2.45e+00
6.80e-04,1.27e+05,6.92e-04,6.52e-04,1.23e+05,-7.34e+00,148,2.28e+00,1.15e-01,2.70e-02,2.43e+00
6.78e-04,1.27e+05,6.90e-04,6.47e-04,1.23e+05,-7.35e+00,149,2.29e+00,1.15e-01,2.68e-02,2.43e+00
6.75e-04,1.25e+05,6.87e-04,6.47e-04,1.25e+05,-7.35e+00,150,2.29e+00,1.15e-01,2.23e-02,2.43e+00
6.72e-04,1.25e+05,6.85e-04,6.46e-04,1.19e+05,-7.35e+00,151,2.29e+00,1.15e-01,2.71e-02,2.43e+00
6.70e-04,1.26e+05,6.83e-04,6.43e-04,1.22e+05,-7.35e+00,152,2.29e+00,1.15e-01,2.69e-02,2.43e+00
6.68e-04,1.24e+05,6.80e-04,6.42e-04,1.24e+05,-7.35e+00,153,2.29e+00,1.15e-01,2.66e-02,2.43e+00
6.66e-04,1.23e+05,6.78e-04,6.39e-04,1.23e+05,-7.36e+00,154,2.29e+00,1.15e-01,1.18e-01,2.52e+00
6.66e-04,1.24e+05,6.79e-04,6.39e-04,1.16e+05,-7.36e+00,155,2.31e+00,1.15e-01,1.12e-01,2.53e+00
6.64e-04,1.23e+05,6.77e-04,6.38e-04,1.20e+05,-7.36e+00,156,2.29e+00,1.15e-01,1.38e-01,2.54e+00
6.63e-04,1.24e+05,6.76e-04,6.38e-04,1.17e+05,-7.36e+00,157,2.30e+00,1.15e-01,2.18e-02,2.44e+00
6.61e-04,1.22e+05,6.73e-04,6.32e-04,1.20e+05,-7.37e+00,158,2.29e+00,1.15e-01,4.41e-02,2.45e+00
6.62e-04,1.22e+05,6.74e-04,6.35e-04,1.16e+05,-7.36e+00,159,2.30e+00,1.15e-01,2.17e-02,2.43e+00
6.59e-04,1.21e+05,6.71e-04,6.36e-04,1.16e+05,-7.36e+00,160,2.29e+00,1.15e-01,2.22e-02,2.42e+00
6.64e-04,1.22e+05,6.76e-04,6.34e-04,1.14e+05,-7.37e+00,161,2.28e+00,1.15e-01,2.20e-02,2.42e+00
6.63e-04,1.21e+05,6.76e-04,6.38e-04,1.19e+05,-7.36e+00,162,2.28e+00,1.15e-01,2.17e-02,2.42e+00
6.63e-04,1.21e+05,6.75e-04,6.38e-04,1.18e+05,-7.36e+00,163,2.66e+00,1.16e-01,1.17e-01,2.90e+00
6.65e-04,1.22e+05,6.77e-04,6.40e-04,1.21e+05,-7.36e+00,164,2.31e+00,1.15e-01,1.03e-01,2.52e+00
6.65e-04,1.23e+05,6.77e-04,6.46e-04,1.17e+05,-7.35e+00,165,2.31e+00,1.15e-01,1.09e-01,2.53e+00
6.69e-04,1.22e+05,6.81e-04,6.50e-04,1.18e+05,-7.34e+00,166,2.29e+00,1.17e-01,5.40e-02,2.46e+00
6.69e-04,1.23e+05,6.81e-04,6.49e-04,1.21e+05,-7.34e+00,167,2.31e+00,1.16e-01,1.22e-01,2.55e+00
6.68e-04,1.22e+05,6.80e-04,6.61e-04,1.21e+05,-7.32e+00,168,2.29e+00,1.15e-01,1.05e-01,2.51e+00
6.72e-04,1.24e+05,6.84e-04,6.61e-04,1.27e+05,-7.32e+00,169,2.29e+00,1.15e-01,1.30e-01,2.53e+00
